'sheng'li'de'rong'guang 胜利的荣光
'ta'ru'hei'yi'sen'lin'bei'bu'lin'qu 踏入黑衣森林北部林区
'ta'ru'ku'er'zha'si'zhong'yang'gao'di 踏入库尔札斯中央高地
'ta'ru'mo'du'na 踏入摩杜纳
'ta'bian'sha'si'ta'xia'rong'dong 踏遍沙斯塔夏溶洞
'ta'bian'bu'lei'fu'luo'ke'si'ye'ying'di 踏遍布雷福洛克斯野营地
'ta'bian'fang'lang'shen'gu'shen'dian 踏遍放浪神古神殿
'ta'bian'tong'ling'tong'shan 踏遍铜铃铜山
'ta'bian'ri'ying'di'xiu'lian'suo 踏遍日影地修炼所
'ta'bian'ka'en'mai'mei'sheng'tang 踏遍喀恩埋没圣堂
'ta'bian'ta'mu'ta'la'mu'yuan 踏遍塔姆塔拉墓园
'ta'bian'jing'yu'zhuang'yuan 踏遍静语庄园
'ta'bian'wu'xian'cheng'gu'bao 踏遍无限城古堡
'ta'bian'shi'wei'ta 踏遍石卫塔
'ta'bian'tuo'tuo'la'ke'qian'yu 踏遍托托拉克千狱
'ta'bian'qiao'ming'dong 踏遍樵鸣洞
'ta'bian'ze'mei'er'yao'sai 踏遍泽梅尔要塞
'ta'bian'huang'jin'gu 踏遍黄金谷
'ta'ru'la'nuo'xi'ya'wai'di 踏入拉诺西亚外地
'ta'bian'di'guo'nan'fang'bao 踏遍帝国南方堡
'ta'bian'tian'mu'mo'dao'cheng 踏遍天幕魔导城
'yong'chuang'chu'ji'da'mi'gong 勇闯初级大迷宫
'hei'wo'tuan'chuan'qi 黑涡团传奇
'shuang'she'dang'chuan'qi 双蛇党传奇
'heng'hui'dui'chuan'qi 恒辉队传奇
'zhuan'yan'mu'gong'bi'ji 专研木工笔记
'zhuan'yan'duan'ye'bi'ji 专研锻冶笔记
'zhuan'yan'jia'zhou'bi'ji 专研甲胄笔记
'zhuan'yan'diao'jin'bi'ji 专研雕金笔记
'zhuan'yan'pi'ge'bi'ji 专研皮革笔记
'zhuan'yan'cai'feng'bi'ji 专研裁缝笔记
'zhuan'yan'lian'jin'bi'ji 专研炼金笔记
'zhuan'yan'peng'diao'bi'ji 专研烹调笔记
'zhuan'yan'cai'jue'bi'ji 专研采掘笔记
'zhuan'yan'cai'fa'bi'ji 专研采伐笔记
'zhuan'yan'diao'yu'bi'ji 专研钓鱼笔记
'zhuan'yan'jian'shu'bi'ji 专研剑术笔记
'zhuan'yan'quan'shu'bi'ji 专研拳术笔记
'zhuan'yan'fu'shu'bi'ji 专研斧术笔记
'zhuan'yan'qiang'shu'bi'ji 专研枪术笔记
'zhuan'yan'gong'shu'bi'ji 专研弓术笔记
'zhuan'yan'huan'shu'bi'ji 专研幻术笔记
'zhuan'yan'zhou'shu'bi'ji 专研咒术笔记
'zhuan'yan'mi'shu'bi'ji 专研秘术笔记
'zhuan'yan'hei'wo'tuan'bi'ji 专研黑涡团笔记
'zhuan'yan'shuang'she'dang'bi'ji 专研双蛇党笔记
'zhuan'yan'heng'hui'dui'bi'ji 专研恒辉队笔记
'mi'gong'de'xin'zhe 迷宫的信者
'mi'gong'de'ba'zhe 迷宫的霸者
'wei'da'de'tan'xian'jia 伟大的探险家
'cheng'ba'da'mi'gong'kai'duan 称霸大迷宫开端
'mu'gong'zhuan'jing 木工专精
'duan'ye'zhuan'jing 锻冶专精
'jia'zhou'zhuan'jing 甲胄专精
'diao'jin'zhuan'jing 雕金专精
'pi'ge'zhuan'jing 皮革专精
'cai'feng'zhuan'jing 裁缝专精
'lian'jin'zhuan'jing 炼金专精
'peng'diao'zhuan'jing 烹调专精
'cai'jue'zhuan'jing 采掘专精
'cai'fa'zhuan'jing 采伐专精
'diao'yu'zhuan'jing 钓鱼专精
'chao'yue'yan'yu'zhi'bi 超越言语之壁
'zhui'zong'hei'an'zhi'ying 追踪黑暗之影
'ying'xiong'de'hou'ji'zhe 英雄的后继者
'zi'you'de'cang'yi 自由的苍翼
'ai'ou'ze'ya'de'xi'wang 艾欧泽亚的希望
'guang'zhi'zhan'shi 光之战士
'shu'shuo'chuan'qi'zhi'ren 述说传奇之人
'mo'shou'zhong'jie'zhe 魔兽终结者
'tie'ti'de'shi'shen'zhe 铁蹄的弑神者
'qiang'sha'qi'mei'la 强杀奇美拉
'shi'te'luo'pei'si'zhi'di 史特罗佩斯之敌
'ming'fu'yin'lu'ren 冥府引路人
'shou'ge'zhe'ke'xing 收割者克星
'jie'chu'de'yi'duan'shen'wen'guan 杰出的异端审问官
'tu'long'zhe 屠龙者
'mai'zhi'cun'de'jiu'shi'zhu 埋枝村的救世主
'kua'tian'qiao'de'ying'xiong 跨天桥的英雄
'bao'hu'ruo'nv'zi 保护弱女子
'ming'yun'zhong'de'wei'ji 命运中的危机
'ming'yun'zhi'zi 命运之子
'ke'kao'de'da'dang 可靠的搭档
'zhong'sheng'fang'bao'zu'dui'yuan 重生防爆组队员
'da'lu'ma'xi'tuan'de'mi'mi 大陆马戏团的秘密
'hei'wo'xiong'lang 黑涡凶狼
'heng'hui'xiong'lang 恒辉凶狼
'shuang'she'xiong'lang 双蛇凶狼
'yu'zhong'kun'lang 狱中困狼
'yu'zhong'gu'lang 狱中古狼
'xiong'lang'kuang'xiao 凶狼狂啸
'lang'wang'kuang'xiao 狼王狂啸
'yu'yan'de'shi'shen'zhe 狱炎的弑神者
'kuang'feng'de'shi'shen'zhe 狂风的弑神者
'hou'tu'de'shi'shen'zhe 厚土的弑神者
'ling'ren'ming'ji 令人铭记
'ming'ji'bu'wang'de'dui'you 铭记不忘的队友
'hui'dang 灰党
'hui'dang'wu'ren 灰党武人
'zan'liu'di'yao'jing 暂留地妖精
'yao'jing'zhi'you 妖精之友
'zai'ci'ta'bian'tong'ling'tong'shan 再次踏遍铜铃铜山
'zai'ci'ta'bian'jing'yu'zhuang'yuan 再次踏遍静语庄园
'ta'bian'tian'lang'xing'deng'ta 踏遍天狼星灯塔
'yong'yuan'de'xue'ren 永远的雪人
'kan'na'you'yi'pi'hui'ma 看哪有一匹灰马
'ai'qing'chuan'dao'shi'de'zhu'shou 爱情传道士的助手
'chuan'yue'shi'kong'de'gong'zhu 穿越时空的公主
'xun'bao'lie'ren 寻宝猎人
'zhi'ming'xun'bao'lie'ren 知名寻宝猎人
'cheng'ba'gu'dai'ren'mi'gong 称霸古代人迷宫
'ta'bian'gu'dai'ren'mi'gong 踏遍古代人迷宫
'guo'lu'sheng'ren 过路圣人
'cheng'ba'di'er'da'mi'gong 称霸第二大迷宫
'yong'chuang'di'er'da'mi'gong 勇闯第二大迷宫
'yuan'shui'de'shi'shen'zhe 渊水的弑神者
'dong'luan'de'shi'jun'zhe 动乱的弑君者
'zai'ci'ta'bian'ri'ying'di'xiu'lian'suo 再次踏遍日影地修炼所
'zai'ci'ta'bian'bu'lei'fu'luo'ke'si'ye'ying'di 再次踏遍布雷福洛克斯野营地
'ta'bian'wu'xian'cheng'shi'jie'gu'ji 踏遍无限城市街古迹
'jue'xing'zhi'jing 觉醒之境
'hun'dun'de'xuan'wo 混沌的漩涡
'xie'hou'da'mi'gong 邂逅大迷宫
'ru'qin'da'mi'gong 入侵大迷宫
'tiao'zhan'diao'chang'zhi'wang 挑战钓场之王
'quan'xin'de'lie'dan'ren 全新的猎蛋人
'di'dong'xue'tuan 第洞穴团
'dong'xue'ying'xiong 洞穴英雄
'nuo'bu'yi'huo 诺布一伙
'nuo'bu'jia'zu 诺布家族
'gu'yuan'da'tan'xian 雇员大探险
'tan'xian'jing'ying 探险精英
'yuan'zhe'shang'gou 愿者上钩
'qi'shi'chu'zheng 骑士出征
'wan'qiang'qi'shi 顽强骑士
'zhan'shi'chu'zheng 战士出征
'yong'meng'zhan'shi 勇猛战士
'huang'dao'zhi'guang 黄道之光
'qun'xing'zhi'guang 群星之光
'tian'ci'mo'jing'shi 天赐魔晶石
'chu'chu'mao'lu'de'tan'suo'zhe 初出茅庐的探索者
'jian'duo'shi'guang'de'tan'suo'zhe 见多识广的探索者
'fen'zheng'bu'duan 纷争不断
'shen'jing'qian'zhan 身经千战
'hai'zhi'dou'de'kai'xuan 海之都的凯旋
'zi'long'gu'xun'zhang 紫龙骨勋章
'sen'zhi'dou'de'kai'xuan 森之都的凯旋
'hei'tan'ye'xun'zhang 黑檀叶勋章
'sha'zhi'dou'de'kai'xuan 沙之都的凯旋
'huang'jin'tian'ping'zhang 黄金天平章
'kong'zhong'zheng'ba 空中争霸
'kong'zhong'ba'wang 空中霸王
'xi'tong'gu'zhang 系统故障
'zhi'ming'gu'zhang 致命故障
'mi'lin'shou'lie'xin'xing 密林狩猎新星
'huang'sha'shou'lie'xin'xing 黄沙狩猎新星
'bi'hai'shou'lie'xin'xing 碧海狩猎新星
'xue'shan'shou'lie'xin'xing 雪山狩猎新星
'ling'ren'qi'dai'de'shou'lie'xin'xing 令人期待的狩猎新星
'mi'lin'shou'lie'xing'jia 密林狩猎行家
'huang'sha'shou'lie'xing'jia 黄沙狩猎行家
'bi'hai'shou'lie'xing'jia 碧海狩猎行家
'xue'shan'shou'lie'xing'jia 雪山狩猎行家
'ji'qiao'shu'lian'de'shou'lie'xing'jia 技巧熟练的狩猎行家
'mi'lin'shou'lie'da'shi 密林狩猎大师
'huang'sha'shou'lie'da'shi 黄沙狩猎大师
'bi'hai'shou'lie'da'shi 碧海狩猎大师
'xue'shan'shou'lie'da'shi 雪山狩猎大师
'sheng'ming'yuan'bo'de'shou'lie'da'shi 声名远播的狩猎大师
'ji'jing'ying'sha'shou 级精英杀手
'ying'ming'yuan'bo'de'ji'jing'ying'sha'shou 英名远播的级精英杀手
'zai'ci'ta'bian'ta'mu'ta'la'mu'yuan 再次踏遍塔姆塔拉墓园
'zai'ci'ta'bian'shi'wei'ta 再次踏遍石卫塔
'ta'bian'po'jian'dao 踏遍破舰岛
'ning'lei'de'shi'shen'zhe 狞雷的弑神者
'cheng'ba'xi'er'ke'si'ta 称霸希尔科斯塔
'ta'bian'xi'er'ke'si'ta 踏遍希尔科斯塔
'jian'mie'da'wang'hua 歼灭大王花
'jian'mie'mei'liu'ji'nu 歼灭美瑠姬奴
'jian'mie'jiang'shi'hua'shen 歼灭降世化身
'jian'mie'bai'yin'de'xiong'niao 歼灭白银的凶鸟
'ai'ou'ze'ya'de'shou'hu'zhe 艾欧泽亚的守护者
're'xue'fei'teng'de'hong'lian'jie 热血沸腾的红莲节
'zhong'sheng'zhi'hua 重生之花
'xin'ren'you'di'yuan 新人邮递员
'jie'mi'chao'ren 解谜超人
'fen'jie'ji'gong 分解技工
'da'xie'ba'kuai 大卸八块
'mi'bao'lie'ren 秘宝猎人
'lu'xing'niao'xun'lian'shi 陆行鸟训练师
'jin'xi'he'xi 今夕何夕
'zhang'feng'kong'li'tuan 长风空力团
'zhang'feng'tong'zhi 长风同志
'liu'zu'lian'meng 六族联盟
'da'lu'ma'xi'da'you'xing 大陆马戏大游行
'zhen'hun'zhi'guang 镇魂之光
'han'bing'de'huan'xiang 寒冰的幻想
'da'mi'gong'de'zhen'yuan 大迷宫的真源
'hui'gan'jiang'long 挥竿降龙
'ling'ren'nan'wang 令人难忘
'zai'ci'ta'bian'ka'en'mai'mei'sheng'tang 再次踏遍喀恩埋没圣堂
'zai'ci'ta'bian'sha'si'ta'xia'rong'dong 再次踏遍沙斯塔夏溶洞
'ta'bian'pi'xue'da'bing'bi 踏遍披雪大冰壁
'cheng'ba'zui'zhong'da'mi'gong 称霸最终大迷宫
'yong'chuang'zui'zhong'da'mi'gong 勇闯最终大迷宫
'yan'bing'de'shi'shen'zhe 严冰的弑神者
'shuang'jian'zhong'de'ling'wu 双剑中的领悟
'zhuan'yan'shuang'jian'bi'ji 专研双剑笔记
'dong'fang'zhi'ren'zhe 东方之忍者
'ji'guang'zhi'ren'zhe 吉光之忍者
'zhong'sheng'de'huang'dao'wu'qi 重生的黄道武器
'sheng'ren'de'zhui'sui'zhe 圣人的追随者
'ai'yi'yang'yang 爱意洋洋
'huang'dao'wu'qi'zai'zhu'zhe 黄道武器再铸者
'bo'yun'jian'ri 拨云见日
'ming'yun'zhi'you 命运之友
'ai'lian'de'ling'lu'ren 爱恋的领路人
'tian'shang'qi'lin 天上麒麟
'zhan'tie'jian'fan 斩铁剑返
'huang'dou'tie'wei 皇都铁卫
'jian'zhi'hao'zhe 剑之豪者
'zun'yan'wang'de'mo'ri 尊严王的末日
'cheng'ba'an'zhi'shi'jie 称霸暗之世界
'ta'bian'an'zhi'shi'jie 踏遍暗之世界
'zai'ci'ta'bian'wu'xian'cheng'gu'bao 再次踏遍无限城古堡
'zai'ci'ta'bian'fang'lang'shen'gu'shen'dian 再次踏遍放浪神古神殿
'ta'bian'mi'yue'zhi'ta 踏遍密约之塔
'zhan'guo'hui'huang 战果辉煌
'zhan'chang'de'zhi'pei'zhe 战场的支配者
'neng'gong'qiao'jiang'de'zhui'qiu 能工巧匠的追求
'da'di'shi'zhe'de'zhui'qiu 大地使者的追求
'huang'dao'yong'shi'fu'huo 黄道勇士复活
'ben'wo'jue'xing 本我觉醒
'chuan'tong'ren'ou'zhong'xian'shi'jian 传统人偶重现世间
'huang'jin'zhi'meng 黄金之梦
'zhi'zui'jin'mi 纸醉金迷
'chu'niao'zhan'chi 雏鸟展翅
'xue'qi'fang'gang 血气方刚
'lian'niao'shi 练鸟师
'lu'xing'niao'qi'shou 陆行鸟骑手
'yi'niao'dang'xian 一鸟当先
'niao'dao'cheng'gong 鸟到成功
'jiu'gong'ka'shou 九宫卡手
'jie'tou'jue'dou'zhe 街头决斗者
'cheng'shi'zai'tian 成事在天
'ren'ding'sheng'tian 人定胜天
'shen'ji'miao'suan 神机妙算
'suan'wu'yi'ce 算无遗策
'ming'yun'lin'men 命运临门
'shen'shan'bi 神闪避
'xian'ren'zhi'lu 仙人指路
'xian'feng'dao'gu 仙风道骨
'wu'cai'bin'fen 五彩缤纷
'qi'guang'yi'cai 奇光异彩
'xi'wang'de'deng'huo 希望的灯火
'guang'zhi'you'di'yuan 光之邮递员
'ju'dan'lie'ren 巨蛋猎人
'ying'xiong'kai'xuan 英雄凯旋
'sheng'jiao'shou'nao 圣教首脑
'yue'yu 越狱
'huang'dou'sao'luan 皇都骚乱
'ge'ming 革命
'xin'zhong'xin'nian 心中信念
'dian'liang'xi'wang 点亮希望
'cang'qiong'zhi'jin'cheng 苍穹之禁城
'sheng'jian'zhi'qi'shi 圣剑之骑士
'yin'yang'zhi'wu'seng 阴阳之武僧
'shang'gu'zhi'zhan'shi 上古之战士
'cang'qiong'zhi'long'qi'shi 苍穹之龙骑士
'tian'kong'zhi'yin'you'shi'ren 天空之吟游诗人
'chun'bai'zhi'bai'mo'fa'shi 纯白之白魔法师
'qi'hei'zhi'hei'mo'fa'shi 漆黑之黑魔法师
'long'shen'zhi'zhao'huan'shi 龙神之召唤师
'xin'sheng'zhi'xue'zhe 新生之学者
'wu'dao'zhi'ren'zhe 悟道之忍者
'huang'dou'zhi'an'hei'qi'shi 皇都之暗黑骑士
'huang'dou'zhi'ji'gong'shi 皇都之机工士
'huang'dou'zhi'zhan'xing'shu'shi 皇都之占星术士
'shen'yuan'zhi'an'hei'qi'shi 深渊之暗黑骑士
'qi'sheng'zhi'ji'gong'shi 气盛之机工士
'guan'xing'zhi'zhan'xing'shu'shi 观星之占星术士
'zhan'chi'ying'feng'ku'er'zha'si'xi'bu'gao'di 展翅迎风库尔札斯西部高地
'zhan'chi'ying'feng'long'bao'can'tian'gao'di 展翅迎风龙堡参天高地
'zhan'chi'ying'feng'long'bao'nei'lu'di'di 展翅迎风龙堡内陆低地
'zhan'chi'ying'feng'fan'yun'wu'hai 展翅迎风翻云雾海
'zhan'chi'ying'feng'a'ba'la'ti'ya'yun'hai 展翅迎风阿巴拉提亚云海
'zhan'chi'ying'feng'a'ji'zi'la 展翅迎风阿济兹拉
'zhan'chi'ying'feng'fei'xiang'cang'qiong 展翅迎风飞向苍穹
'ji'shen'cheng'qi'dong 机神城启动
'san'dou'shen'zhi'sheng 三斗神之声
'wo'xiang'xin'wo'neng'chu'dao'tian'kong 我相信我能触到天空
'an'jian'zhong'de'ling'wu 暗剑中的领悟
'ji'gong'zhong'de'ling'wu 机工中的领悟
'xing'tu'zhong'de'ling'wu 星图中的领悟
'xuan'wu'zhi'yong'zhe 宣武之勇者
'lian'mo'zhi'zhi'zhe 炼魔之智者
'shi'er'zhong'zhi'dao'de'tan'jiu'zhe 十二重之道的探究者
'tai'yang'hai'an'de'hong'lian'jie 太阳海岸的红莲节
'you'ni'pei'ban'de'er'zhou'nian 有你陪伴的二周年
'an'hei'qi'shi'chu'zheng 暗黑骑士出征
'yi'ran'an'hei'qi'shi 毅然暗黑骑士
'jie'mi'chen'feng'zhi'mi 解密尘封之谜
'ba'zhe'kai'xuan 霸者凯旋
'ta'bian'ku'er'zha'si'xi'bu'gao'di 踏遍库尔札斯西部高地
'ta'bian'long'bao'can'tian'gao'di 踏遍龙堡参天高地
'ta'bian'long'bao'nei'lu'di'di 踏遍龙堡内陆低地
'ta'bian'fan'yun'wu'hai 踏遍翻云雾海
'ta'bian'a'ba'la'ti'ya'yun'hai 踏遍阿巴拉提亚云海
'ta'bian'a'ji'zi'la 踏遍阿济兹拉
'ta'bian'mu'wei'ta 踏遍暮卫塔
'ta'bian'suo'mu'a'er'ling'feng 踏遍索姆阿尔灵峰
'ta'bian'long'chao'shen'dian 踏遍龙巢神殿
'ta'bian'yi'xiu'jia'de'jiao'huang'ting 踏遍伊修加德教皇厅
'ta'bian'jia'ba'le'huan'xiang'tu'shu'guan 踏遍迦巴勒幻想图书馆
'ta'bian'mo'ke'xue'yan'jiu'suo 踏遍魔科学研究所
'ta'bian'bu'huo'dao 踏遍不获岛
'ta'bian'wu'xian'hui'lang 踏遍无限回廊
'yong'chuang'qi'dong'ji'shen'cheng 勇闯启动机神城
'ling'yun'de'shi'shen'zhe 凌云的弑神者
'yan'wu'de'shi'shen'zhe 偃武的弑神者
'mao'xian'yi'wen'lu 冒险异闻录
'cheng'ba'qi'dong'ji'shen'cheng 称霸启动机神城
'wan'quan'cheng'ba'qi'dong'ji'shen'cheng 完全称霸启动机神城
'long'bao'shou'lie'xin'xing 龙堡狩猎新星
'bing'yun'shou'lie'xin'xing 冰云狩猎新星
'long'bao'shou'lie'xing'jia 龙堡狩猎行家
'bing'yun'shou'lie'xing'jia 冰云狩猎行家
'long'bao'shou'lie'da'shi 龙堡狩猎大师
'bing'yun'shou'lie'da'shi 冰云狩猎大师
'bo'wen'zhi'qiao'zhe 博闻之巧者
'qiang'shi'zhi'xian'zhe 强识之贤者
'shou'zang'pin'zhi'zuo'zhe 收藏品制作者
'shou'zang'pin'cai'ji'zhe 收藏品采集者
'sheng'shi'xian'he 声势显赫
'mu'gong'ji'ren'zhe 木工继任者
'duan'ye'ji'ren'zhe 锻冶继任者
'zhu'jia'ji'ren'zhe 铸甲继任者
'diao'jin'ji'ren'zhe 雕金继任者
'zhi'ge'ji'ren'zhe 制革继任者
'cai'feng'ji'ren'zhe 裁缝继任者
'lian'cheng'ji'ren'zhe 炼成继任者
'peng'diao'ji'ren'zhe 烹调继任者
'cang'qiong'zhi'cai'jue'neng'shou 苍穹之采掘能手
'cang'qiong'zhi'cai'fa'neng'shou 苍穹之采伐能手
'cang'qiong'zhi'diao'yu'neng'shou 苍穹之钓鱼能手
'tu'po'tian'ji'de'tan'suo'zhe 突破天际的探索者
'tian'bu'you'nv'wang 天不佑女王
'bai'long'jing'di 白龙劲敌
'zhen'shou'lie'ren 珍兽猎人
'fen'shen'sui'jia 粉身碎甲
'he'jin'zhuang'bei 合金装备
'an'long'ke'xing 暗龙克星
'fu'dao'shou'hu'zhe 浮岛守护者
'mi'yan'zhan'yi 秘岩战役
'ying'xiong'wu'xun 英雄武勋
'yi'nian'zhi'ji'zai'yu'chun 一年之计在于春
'neng'rang'wo'kan'kan'zhei'ba'sao'zhou'ma 能让我看看这把扫帚吗
'chong'wu'shou'zang'jia 宠物收藏家
'gen'sui'wo'de'jiao'bu 跟随我的脚步
'meng'chong'tiao'zhan'zhe 萌宠挑战者
'meng'chong'zhi'wang 萌宠之王
'pan'shang'de'jun'shi'jia 盘上的军事家
'tu'po'tian'ji'de'xian'shu'tan'suo'zhe 突破天际的娴熟探索者
'guang'yu'an'de'fen'jie 光与暗的分界
'chi'hui'de'he'zuo'zhe 赤喙的合作者
'wu'lang'ba'de'dai'li'lao'shi 五郎八的代理老师
'chuan'shuo'zhi'zhong 传说之钟
'nian'gao 年糕
'wei'ai'er'sheng 为爱而生
'huang'ying'de'yin'lu'ren 黄莺的引路人
'yuan'ling'wu'qi'yan'jiu'zhe 元灵武器研究者
'mei'yan'de'gun'du 美艳的衮杜
'tai'yang'wu'zhe 太阳舞者
'cheng'ba'mo'hang'chuan'xu'wu'fang'zhou 称霸魔航船虚无方舟
'ying'jie'de'shi'shen'zhe 英杰的弑神者
'ta'bian'mo'hang'chuan'xu'wu'fang'zhou 踏遍魔航船虚无方舟
'ta'bian'sheng'mo'xia'na'zhi'wu'yuan 踏遍圣茉夏娜植物园
'zai'ci'ta'bian'tian'lang'xing'deng'ta 再次踏遍天狼星灯塔
'ta'bian'yun'guan'qun'dao 踏遍云冠群岛
'sheng'en'da'li'mu'shen'xue'yuan'ji'di'zhang 圣恩达利姆神学院记第章
'quan'neng'zhi'qi'shi 全能之骑士
'jun'shen'zhi'wu'seng 军神之武僧
'tian'lei'zhi'zhan'shi 天雷之战士
'xian'feng'zhi'long'qi'shi 先锋之龙骑士
'gan'di'zhi'yin'you'shi'ren 甘狄之吟游诗人
'tian'wei'zhi'bai'mo'fa'shi 天威之白魔法师
'wu'jin'zhi'hei'mo'fa'shi 无尽之黑魔法师
'ju'long'zhi'zhao'huan'shi 巨龙之召唤师
'xing'xiang'zhi'xue'zhe 星象之学者
'shen'wu'zhi'ren'zhe 神无之忍者
'mo'ri'zhi'ji'gong'shi 末日之机工士
'nuo'tong'zhi'an'hei'qi'shi 诺统之暗黑骑士
'tian'jin'zhi'zhan'xing'shu'shi 天津之占星术士
'chu'ji'yun'hai'tan'suo 初级云海探索
'zhong'ji'yun'hai'tan'suo 中级云海探索
'gao'ji'yun'hai'tan'suo 高级云海探索
'yun'guan'qun'dao'lie'ren 云冠群岛猎人
'xuan'lv'de'chen'zui'zhe 旋律的沉醉者
'qun'lang'sheng'yan 群狼盛宴
'sheng'yan'de'zhu'bin 盛宴的主宾
'mo'li'li'zhua 磨砺利爪
'zheng'ning'li'zhua 狰狞利爪
'hu'huan'sheng'li'de'shou'hu'zhe 呼唤胜利的守护者
'jue'dui'de'shou'hu'zhe 绝对的守护者
'hu'huan'sheng'li'de'dou'shi 呼唤胜利的斗士
'yong'meng'de'dou'shi 勇猛的斗士
'hu'huan'sheng'li'de'ju'ji'shou 呼唤胜利的狙击手
'min'rui'de'ju'ji'shou 敏锐的狙击手
'hu'huan'sheng'li'de'po'huai'zhe 呼唤胜利的破坏者
'leng'ku'de'po'huai'zhe 冷酷的破坏者
'hu'huan'sheng'li'de'yi'shi 呼唤胜利的医师
'ci'ai'de'yi'shi 慈爱的医师
'ke'kao'de'qian'bei 可靠的前辈
'cheng'ba'lv'dong'ji'shen'cheng 称霸律动机神城
'wan'quan'cheng'ba'lv'dong'ji'shen'cheng 完全称霸律动机神城
'yong'chuang'lv'dong'ji'shen'cheng 勇闯律动机神城
'mo'shu'de'shi'shen'zhe 魔树的弑神者
'ta'bian'dian'dao'ta 踏遍颠倒塔
'zai'ci'ta'bian'wu'xian'cheng'shi'jie'gu'ji 再次踏遍无限城市街古迹
'sen'zhi'dou'de'lie'dan'ren 森之都的猎蛋人
'jin'die'shi'jian'bu 金碟事件簿
'shao'shui'li'qi 烧水利器
'ming'yun'de'chi'lun 命运的齿轮
'ji'shen'cheng'de'lv'dong 机神城的律动
'li'qun'yi'zu 离群一族
'zi'you'qian'bei 自由前辈
'quan'neng'zhi'qi'shi'chao'dao 全能之骑士超导
'jun'shen'zhi'wu'seng'chao'dao 军神之武僧超导
'tian'lei'zhi'zhan'shi'chao'dao 天雷之战士超导
'xian'feng'zhi'long'qi'shi'chao'dao 先锋之龙骑士超导
'gan'di'zhi'yin'you'shi'ren'chao'dao 甘狄之吟游诗人超导
'tian'wei'zhi'bai'mo'fa'shi'chao'dao 天威之白魔法师超导
'wu'jin'zhi'hei'mo'fa'shi'chao'dao 无尽之黑魔法师超导
'ju'long'zhi'zhao'huan'shi'chao'dao 巨龙之召唤师超导
'xing'xiang'zhi'xue'zhe'chao'dao 星象之学者超导
'shen'wu'zhi'ren'zhe'chao'dao 神无之忍者超导
'mo'ri'zhi'ji'gong'shi'chao'dao 末日之机工士超导
'nuo'tong'zhi'an'hei'qi'shi'chao'dao 诺统之暗黑骑士超导
'tian'jin'zhi'zhan'xing'shu'shi'chao'dao 天津之占星术士超导
'lu'xing'niao'tiao'zhan'zheng'fu'zhe 陆行鸟挑战征服者
'di'fu'mao'zhi'you 地缚猫之友
'xiao'bo'zhi'you 小狛之友
'wei'si'pa'zhi'you 维斯帕之友
'chui'xue'gong'zhu'zhi'you 吹雪公主之友
'jiu'wei'zhi'you 九尾之友
'bo'ci'lang'zhi'you 狛次郎之友
'ren'mian'quan'zhi'you 人面犬之友
'ye'chui'she'zhi'you 野槌蛇之友
'da'she'zhi'you 大蛇之友
'wu'shi'mao'zhi'you 武士猫之友
'fu'you'mao'zhi'you 浮游猫之友
'ji'xie'mao'xing'zhi'you 机械猫型之友
'beng'zhi'you 蹦之友
'chi'mao'zhi'zhan 赤猫之斩
'bai'quan'zhi'yu 白犬之愈
'you'hun'zhi'yin 幽魂之吟
'xue'ji'zhi'zhou 雪姬之咒
'jiu'wei'zhi'ren 九尾之忍
'zhu'quan'zhi'shi 朱犬之识
'ren'mian'zhi'ling 人面之灵
'tu'long'zhi'bu 土龙之卜
'da'she'zhi'ci 大蛇之刺
'wu'mao'zhi'ren 武猫之韧
'dong'mao'zhi'gang 冬猫之刚
'gang'mao'zhi'pao 钢猫之炮
'lan'tu'zhi'quan 蓝兔之拳
'yao'guai'wu'qi'shou'zang'jia 妖怪武器收藏家
'sheng'yan'de'wang'zhe 盛宴的王者
'sheng'yan'de'sha'lu'zhe 盛宴的杀戮者
'sheng'yan'de'rong'yu'zhe 盛宴的荣誉者
'qing'tong'zhi'sheng'yan'gu'lang 青铜之盛宴孤狼
'bai'yin'zhi'sheng'yan'gu'lang 白银之盛宴孤狼
'huang'jin'zhi'sheng'yan'gu'lang 黄金之盛宴孤狼
'bai'jin'zhi'sheng'yan'gu'lang 白金之盛宴孤狼
'zuan'shi'zhi'sheng'yan'gu'lang 钻石之盛宴孤狼
'shui'luo'cheng'chu 水落城出
'cheng'ba'bao'wu'ku 称霸宝物库
'da'jia'de'dui'zhang 大家的队长
'rong'yu'zhi'zhan 荣誉之战
'sheng'yan'de'wang'zhe'men 盛宴的王者们
'sheng'yan'de'sha'lu'zhe'men 盛宴的杀戮者们
'sheng'yan'de'rong'yu'zhe'men 盛宴的荣誉者们
'qing'tong'zhi'sheng'yan'lang'qun 青铜之盛宴狼群
'bai'yin'zhi'sheng'yan'lang'qun 白银之盛宴狼群
'huang'jin'zhi'sheng'yan'lang'qun 黄金之盛宴狼群
'bai'jin'zhi'sheng'yan'lang'qun 白金之盛宴狼群
'zuan'shi'zhi'sheng'yan'lang'qun 钻石之盛宴狼群
'yao'guai'zhi'you 妖怪之友
'cheng'ba'jin'ji'cheng'bang'ma'ha 称霸禁忌城邦玛哈
'shi'zhe'an'xi 逝者安息
'si'zhe'gong'dian'de'tan'suo'zhe 死者宫殿的探索者
'ju'mo'zhi'guang'jian'dun 聚魔之光剑盾
'ju'mo'zhi'guang'quan'tao 聚魔之光拳套
